Business Intelligence Report
Report Type,dashboard_summary
Period,monthly
Scope,global
Generated At,2026-09-10T17:20:18.683426+00:00

KPI Summary
Total Revenue,200.0
Services Completed,0
Customers,1
Conversion Rate (%),0.0
Payment Rate (%),0.0
Total Transactions,1

Period-over-Period Comparison
Revenue Current,200.0
Revenue Previous,300.0
Revenue Change (%),-33.33
Conversion Rate Current (%),0.0
Conversion Rate Previous (%),0.0
Payment Rate Current (%),0.0
Payment Rate Previous (%),0.0

Peak Periods
Peak Hour,01:00,200.0
Peak Day,Friday,200.0
Peak Month,Sep,200.0

Revenue Split
Appointments,0.0
Walk-ins,0.0
Services,200.0
Products,0.0

Reconciliation
Payment Total,200.0
Dashboard Total,0.0
Mismatch Amount,200.0
Mismatch Threshold,100000.0
Data Mismatch,False

Top Services
Service,Revenue,Count
service sale,200.0,1

Top Customers
Customer,Revenue,Transactions
Walk-in Customer,200.0,1
